category,title,content
Spor,Fenerbahçe Masa Tenisi Şubesi 1961-62 sezonu,Fenerbahçe Masa Tenisi Şubesi 10 Kasım 1961 tarihinde yeniden faaliyete geçti. Ali Dirikman şube kaptanlığına getirildi.[1]
Spor,1963 Akdeniz Oyunları'nda Türkiye,"Türkiye 21-29 Eylül tarihleri arasında Napoli'de düzenlenen 1963 Akdeniz Oyunları'na katıldı. Tamamı erkek 99 Türk sporcu oyunlarda yer aldı. 10'u altın, toplam 18 madalya kazanan Türkiye, madalya sıralamasını dördüncü olarak tamamladı."
Spor,Fenerbahçe Masa Tenisi Şubesi 1963-64 sezonu,"Fenerbahçe Masa Tenisi Şubesi erkek takımı 1963-64 sezonunda İstanbul üçüncüsü, kadın takımı da aynı şekilde İstanbul üçüncüsü oldu."
Spor,Fenerbahçe Masa Tenisi Şubesi 1963-64 sezonu,"Fenerbahçe Masa Tenisi Şubesi erkek takımı 1963-64 sezonunda İstanbul üçüncüsü, kadın takımı da aynı şekilde İstanbul üçüncüsü oldu."
Spor,Fenerbahçe Masa Tenisi Şubesi 1964-65 sezonu,"Fenerbahçe Masa Tenisi Şubesi erkek takımı 1964-65 sezonunda İstanbul ikincisi, kadın takımı da İstanbul şampiyonu oldu."
Spor,1964 Kış Olimpiyatları'nda Türkiye,"Türkiye, Avusturya'nın Innsbruck eyaletinde yapılan 1964 Kış Olimpiyatları'na beş sporcu ile katıldı."
Spor,Fenerbahçe Masa Tenisi Şubesi 1964-65 sezonu,"Fenerbahçe Masa Tenisi Şubesi erkek takımı 1964-65 sezonunda İstanbul ikincisi, kadın takımı da İstanbul şampiyonu oldu."
Spor,Fenerbahçe Masa Tenisi Şubesi 1965-66 sezonu,"Fenerbahçe Masa Tenisi Şubesi erkek takımı 1965-66 sezonunda İstanbul ikincisi, kadın takımı da İstanbul şampiyonu oldu. Fenerbahçeli sporcular Türkiye Masatenisi Şampiyonası'nda da başarılı sonuçlara imza attılar."
Spor,Fenerbahçe Masa Tenisi Şubesi 1966-67 sezonu,Fenerbahçe Masa Tenisi Şubesi erkek takımı 1966-67 sezonunda Beyoğluspor'un gerisinde kalarak İstanbul ikincisi oldu. Kadın takımı üçüncü kez üst üste İstanbul şampiyonu oldu. Fenerbahçeli sporcular Türkiye Masatenisi Şampiyonası'nda da başarılı sonuçlara imza attılar.
Spor,1967 Akdeniz Oyunları'nda Türkiye,"Türkiye 8-17 Eylül tarihleri arasında Tunus'ta düzenlenen 1967 Akdeniz Oyunları'na katıldı. Türk sporcular 9'u altın, toplam 24 madalya ile, madalya sıralamasını dördüncü olarak tamamladı."
Spor,1967 Avrupa Güreş Şampiyonası,"1967 Avrupa Güreş Şampiyonası, Grekoromen stilde Sovyetler Birliği'nin Minsk kentinde 19 - 22 Mayıs 1967 tarihlerinde; Erkekler serbest yarışmaları Türkiye'nin İstanbul kentinde 7 – 10 Temmuz 1967 tarihlerinde  gerçekleştirilmiştir.[1]"
Spor,1967 Avrupa Kadınlar Voleybol Şampiyonası,"1967 Avrupa Bayanlar Voleybol Şampiyonası, 26 Ekim-7 Kasım 1967 tarihlerinde Türkiye’de yapıldı. Yedincisi düzenlenen şampiyonaya on beş ülkenin ulusal takımları katıldı. Maçlar Ankara, Adana, İstanbul ve İzmir kentlerinde oynandı."
Spor,1966-67 Türkiye Basketbol Ligi,"Türkiye Basketbol Ligi 1966-67 sezonu, Türkiye Basketbol Ligi'nin 1. sezonudur. Üç şehirden (İstanbul, Ankara, İzmir) 12 takımın katıldığı lig deplasmanlı lig usulüne göre oynandı. 22 maç sonunda 63 puan toplayan Altınordu ligin ilk şampiyonu olurken, ligde küme düşme uygulanmadı."
Spor,1968 Kış Olimpiyatları'nda Türkiye,"Türkiye, Fransa'nın Grenoble kentinde yapılan 1968 Kış Olimpiyatları'na on bir sporcu ile katıldı."
Spor,1968 Yaz Olimpiyatları'nda Türkiye,"Türkiye, Meksiko'da yapılan 1968 Yaz Olimpiyatları'na, 4 spor branşında 29 sporcu ile katıldı."
Spor,1971 Akdeniz Oyunları'nda güreş,"1971 Akdeniz Oyunları'nda güreş müsabakaları, Ekim 1971'de arasında Türkiye'nin İzmir kentinde düzenlendi. Alsancak Stadyumu karşılaşmalara ev sahipliği yaptı.[1][2]"
